DSP,Price,Speed_in_MHz,16_Bit_MACs,40_bit_ALUs,Active_mW_per_MHz
ADSP-BF504BCPZ-4F,18.94,400,2,2,0.323
ADSP-BF524BBCZ-3A,20.02,300,2,2,0.302
ADSP-BF527BBCZ-5A,32.28,533,2,2,0.359
ADSP-BF527KBCZ-6A,36.13,600,2,2,0.387
ADSP-BF532SBBCZ400,20.84,400,2,2,0.369
ADSP-BF532SBSTZ400,19.50,400,2,2,0.369
ADSP-BF533SBBCZ400,23.79,400,2,2,0.369
ADSP-BF533SBBCZ500,29.13,500,2,2,0.578
ADSP-BF533SKBCZ-6V,35.48,600,2,2,0.760
ADSP-BF534BBCZ-4A,23.56,400,2,2,0.366
ADSP-BF548BBCZ-5A,36.40,533,2,2,1.006
ADSP-BF592KCPZ,9.48,400,2,2,0.311
TMS320C5515AZCHA12,20.72,120,2,2,0.22
TMS320C5535AZHH10,13.09,100,2,2,0.22
TMS320C5535AZHHA10,17.53,100,2,2,0.22
TMS320VC5416PGE160,55.32,160,1,1,0.6
TMS320VC5509APGE,31.44,200,2,2,0.96
TMS320VC5509AZHH,31.44,200,2,2,0.96
TMS320VC5510AZGWA2,40.13,200,2,2,0.896
